Well,Carbon source
A1,Acetate
A2,Acetate
A3,Acetate
A4,Adenosine
A5,Adenosine
A6,Adenosine
A7,Cysteine
A8,Cysteine
A9,Cysteine
A10,Arabinose
A11,Arabinose
A12,Arabinose
B1,Glucose
B2,Glucose
B3,Glucose
B4,Xylose
B5,Xylose
B6,Xylose
B7,Formate
B8,Formate
B9,Formate
B10,Fumarate
B11,Fumarate
B12,Fumarate
C1,Glutarate
C2,Glutarate
C3,Glutarate
C4,Glycerol
C5,Glycerol
C6,Glycerol
C7,Glycine
C8,Glycine
C9,Glycine
C10,Inosine
C11,Inosine
C12,Inosine
D1,Alanine
D2,Alanine
D3,Alanine
D4,Arginine
D5,Arginine
D6,Arginine
D7,Aspartate
D8,Aspartate
D9,Aspartate
D10,Glutamate
D11,Glutamate
D12,Glutamate
E1,Glutamine
E2,Glutamine
E3,Glutamine
E4,Histidine
E5,Histidine
E6,Histidine
E7,Isoleucine
E8,Isoleucine
E9,Isoleucine
E10,Lactate
E11,Lactate
E12,Lactate
F1,Leucine
F2,Leucine
F3,Leucine
F4,Malate
F5,Malate
F6,Malate
F7,Mannitol
F8,Mannitol
F9,Mannitol
F10,Mannose
F11,Mannose
F12,Mannose
G1,myo-inositol
G2,myo-inositol
G3,myo-inositol
G4,Orotate
G5,Orotate
G6,Orotate
G7,Phenylalanine
G8,Phenylalanine
G9,Phenylalanine
G10,Proline
G11,Proline
G12,Proline
H1,Ribose
H2,Ribose
H3,Ribose
H4,Sucrose
H5,Sucrose
H6,Sucrose
H7,Uridine
H8,Uridine
H9,Uridine
H10,No CS
H11,No CS
H12,No CS