#,Group,Carbon source,Well,Replicate
1,Reference,Acetate,A1,1
1,Reference,Acetate,A2,2
1,Reference,Acetate,A3,3
2,With AA & vitamins,Acetate+vits,A4,1
2,With AA & vitamins,Acetate+vits,A5,2
2,With AA & vitamins,Acetate+vits,A6,3
3,5x carbon,Acetate5x,A7,1
3,5x carbon,Acetate5x,A8,2
3,5x carbon,Acetate5x,A9,3
4,1/50x carbon,Acetate0.02x,A10,1
4,1/50x carbon,Acetate0.02x,A11,2
4,1/50x carbon,Acetate0.02x,A12,3
5,Reference,Glutarate,B1,1
5,Reference,Glutarate,B2,2
5,Reference,Glutarate,B3,3
6,With AA & vitamins,Glutarate+vits,B4,1
6,With AA & vitamins,Glutarate+vits,B5,2
6,With AA & vitamins,Glutarate+vits,B6,3
7,5x carbon,Glutarate5x,B7,1
7,5x carbon,Glutarate5x,B8,2
7,5x carbon,Glutarate5x,B9,3
8,1/50x carbon,Glutarate0.02x,B10,1
8,1/50x carbon,Glutarate0.02x,B11,2
8,1/50x carbon,Glutarate0.02x,B12,3
9,Reference,Inosine,C1,1
9,Reference,Inosine,C2,2
9,Reference,Inosine,C3,3
10,With AA & vitamins,Inosine+vits,C4,1
10,With AA & vitamins,Inosine+vits,C5,2
10,With AA & vitamins,Inosine+vits,C6,3
11,5x carbon,Inosine5x,C7,1
11,5x carbon,Inosine5x,C8,2
11,5x carbon,Inosine5x,C9,3
12,1/50x carbon,Inosine0.02x,C10,1
12,1/50x carbon,Inosine0.02x,C11,2
12,1/50x carbon,Inosine0.02x,C12,3
13,Reference,L-Glutamate,D1,1
13,Reference,L-Glutamate,D2,2
13,Reference,L-Glutamate,D3,3
14,With AA & vitamins,L-Glutamate+vits,D4,1
14,With AA & vitamins,L-Glutamate+vits,D5,2
14,With AA & vitamins,L-Glutamate+vits,D6,3
15,5x carbon,L-Glutamate5x,D7,1
15,5x carbon,L-Glutamate5x,D8,2
15,5x carbon,L-Glutamate5x,D9,3
16,1/50x carbon,L-Glutamate0.02x,D10,1
16,1/50x carbon,L-Glutamate0.02x,D11,2
16,1/50x carbon,L-Glutamate0.02x,D12,3
17,Reference,L-Histidine,E1,1
17,Reference,L-Histidine,E2,2
17,Reference,L-Histidine,E3,3
18,With AA & vitamins,L-Histidine+vits,E4,1
18,With AA & vitamins,L-Histidine+vits,E5,2
18,With AA & vitamins,L-Histidine+vits,E6,3
19,5x carbon,L-Histidine5x,E7,1
19,5x carbon,L-Histidine5x,E8,2
19,5x carbon,L-Histidine5x,E9,3
20,1/50x carbon,L-Histidine0.02x,E10,1
20,1/50x carbon,L-Histidine0.02x,E11,2
20,1/50x carbon,L-Histidine0.02x,E12,3
21,Reference,Malate,F1,1
21,Reference,Malate,F2,2
21,Reference,Malate,F3,3
22,With AA & vitamins,Malate+vits,F4,1
22,With AA & vitamins,Malate+vits,F5,2
22,With AA & vitamins,Malate+vits,F6,3
23,5x carbon,Malate5x,F7,1
23,5x carbon,Malate5x,F8,2
23,5x carbon,Malate5x,F9,3
24,1/50x carbon,Malate0.02x,F10,1
24,1/50x carbon,Malate0.02x,F11,2
24,1/50x carbon,Malate0.02x,F12,3
25,Reference,Ribose,G1,1
25,Reference,Ribose,G2,2
25,Reference,Ribose,G3,3
26,With AA & vitamins,Ribose+vits,G4,1
26,With AA & vitamins,Ribose+vits,G5,2
26,With AA & vitamins,Ribose+vits,G6,3
27,5x carbon,Ribose5x,G7,1
27,5x carbon,Ribose5x,G8,2
27,5x carbon,Ribose5x,G9,3
28,1/50x carbon,Ribose0.02x,G10,1
28,1/50x carbon,Ribose0.02x,G11,2
28,1/50x carbon,Ribose0.02x,G12,3
29,Control,No CS,H1,1
29,Control,No CS,H2,2
29,Control,No CS,H3,3
30,Control,Vits control,H4,1
30,Control,Vits control,H5,2
30,Control,Vits control,H6,3
31,Rich,TSB,H7,1
31,Rich,TSB,H8,2
31,Rich,TSB,H9,3
32,Rich,LB,H10,1
32,Rich,LB,H11,2
32,Rich,LB,H12,3