,Well,Plate,CFUs/mL,Species,Inoculated species,Medium
0,Inoculum,0,945812.8078817734,At,,
1,Inoculum,0,798029.5566502463,At,,
2,Inoculum,0,827586.2068965518,At,,
3,Inoculum,0,679802.9556650246,At,,
4,A1,6,360000000.0,At,At+Ct,M9-malate
5,A2,6,12000000000.0,At,At+Ml,M9-malate
6,A3,6,10600000000.0,At,At+Oa,M9-malate
7,A4,6,,At,Ct+Ml,M9-malate
8,A5,6,,At,Ct+Oa,M9-malate
9,A6,6,,At,Ml+Oa,M9-malate
10,A7,6,5800000000.0,At,At+Oa,M9-malate+thiamine
11,A8,6,,At,Ct+Oa,M9-malate+thiamine
12,A9,6,,At,Ml+Oa,M9-malate+thiamine
13,A10,6,10600000000.0,At,At+Ml,M9-malate+thiamine+biotin+cysteine+proline
14,A11,6,,At,Ct+Ml,M9-malate+thiamine+biotin+cysteine+proline
15,A12,6,,At,Ml+Oa,M9-malate+thiamine+biotin+cysteine+proline
16,B1,6,260000000.0,At,At+Ct,M9-malate
17,B2,6,6600000000.0,At,At+Ml,M9-malate
18,B3,6,6200000000.0,At,At+Oa,M9-malate
19,B4,6,,At,Ct+Ml,M9-malate
20,B5,6,,At,Ct+Oa,M9-malate
21,B6,6,,At,Ml+Oa,M9-malate
22,B7,6,3600000000.0,At,At+Oa,M9-malate+thiamine
23,B8,6,,At,Ct+Oa,M9-malate+thiamine
24,B9,6,,At,Ml+Oa,M9-malate+thiamine
25,B10,6,8000000000.0,At,At+Ml,M9-malate+thiamine+biotin+cysteine+proline
26,B11,6,,At,Ct+Ml,M9-malate+thiamine+biotin+cysteine+proline
27,B12,6,,At,Ml+Oa,M9-malate+thiamine+biotin+cysteine+proline
28,C1,6,280000000.0,At,At+Ct,M9-malate
29,C2,6,7200000000.0,At,At+Ml,M9-malate
30,C3,6,3400000000.0,At,At+Oa,M9-malate
31,C4,6,,At,Ct+Ml,M9-malate
32,C5,6,,At,Ct+Oa,M9-malate
33,C6,6,,At,Ml+Oa,M9-malate
34,C7,6,3000000000.0,At,At+Oa,M9-malate+thiamine
35,C8,6,,At,Ct+Oa,M9-malate+thiamine
36,C9,6,,At,Ml+Oa,M9-malate+thiamine
37,C10,6,2200000000.0,At,At+Ml,M9-malate+thiamine+biotin+cysteine+proline
38,C11,6,,At,Ct+Ml,M9-malate+thiamine+biotin+cysteine+proline
39,C12,6,,At,Ml+Oa,M9-malate+thiamine+biotin+cysteine+proline
40,D1,6,160000000.0,At,At+Ct,M9-malate
41,D2,6,6000000000.0,At,At+Ml,M9-malate
42,D3,6,6400000000.0,At,At+Oa,M9-malate
43,D4,6,,At,Ct+Ml,M9-malate
44,D5,6,,At,Ct+Oa,M9-malate
45,D6,6,,At,Ml+Oa,M9-malate
46,D7,6,2000000000.0,At,At+Oa,M9-malate+thiamine
47,D8,6,,At,Ct+Oa,M9-malate+thiamine
48,D9,6,,At,Ml+Oa,M9-malate+thiamine
49,D10,6,6200000000.0,At,At+Ml,M9-malate+thiamine+biotin+cysteine+proline
50,D11,6,,At,Ct+Ml,M9-malate+thiamine+biotin+cysteine+proline
51,D12,6,,At,Ml+Oa,M9-malate+thiamine+biotin+cysteine+proline
52,E1,6,8200000000.0,At,At,M9-malate
53,E2,6,,At,Ct,M9-malate
54,E4,6,,At,Oa,M9-malate
55,E5,6,8200000000.0,At,At,M9-malate+thiamine
56,E6,6,,At,Ct,M9-malate+thiamine
57,E7,6,,At,Ml,M9-malate+thiamine
58,E8,6,,At,Oa,M9-malate+thiamine
59,E9,6,6600000000.0,At,At,M9-malate+thiamine+biotin+cysteine+proline
60,E10,6,,At,Ct,M9-malate+thiamine+biotin+cysteine+proline
61,E11,6,,At,Ml,M9-malate+thiamine+biotin+cysteine+proline
62,E12,6,,At,Oa,M9-malate+thiamine+biotin+cysteine+proline
63,F1,6,7000000000.0,At,At,M9-malate
64,F2,6,,At,Ct,M9-malate
65,F3,6,,At,Ml,M9-malate
66,F4,6,,At,Oa,M9-malate
67,F5,6,6400000000.0,At,At,M9-malate+thiamine
68,F6,6,,At,Ct,M9-malate+thiamine
69,F7,6,,At,Ml,M9-malate+thiamine
70,F8,6,,At,Oa,M9-malate+thiamine
71,F9,6,4600000000.0,At,At,M9-malate+thiamine+biotin+cysteine+proline
72,F10,6,,At,Ct,M9-malate+thiamine+biotin+cysteine+proline
73,F11,6,,At,Ml,M9-malate+thiamine+biotin+cysteine+proline
74,F12,6,,At,Oa,M9-malate+thiamine+biotin+cysteine+proline
75,G1,6,5800000000.0,At,At,M9-malate
76,G2,6,,At,Ct,M9-malate
77,G3,6,,At,Ml,M9-malate
78,G4,6,,At,Oa,M9-malate
79,G5,6,6600000000.0,At,At,M9-malate+thiamine
80,G6,6,,At,Ct,M9-malate+thiamine
81,G7,6,,At,Ml,M9-malate+thiamine
82,G8,6,,At,Oa,M9-malate+thiamine
83,G9,6,5600000000.0,At,At,M9-malate+thiamine+biotin+cysteine+proline
84,G10,6,,At,Ct,M9-malate+thiamine+biotin+cysteine+proline
85,G11,6,,At,Ml,M9-malate+thiamine+biotin+cysteine+proline
86,G12,6,,At,Oa,M9-malate+thiamine+biotin+cysteine+proline
87,H1,6,11200000000.0,At,At,M9-malate
88,H2,6,,At,Ct,M9-malate
89,H3,6,,At,Ml,M9-malate
90,H4,6,,At,Oa,M9-malate
91,H5,6,8200000000.0,At,At,M9-malate+thiamine
92,H6,6,,At,Ct,M9-malate+thiamine
93,H7,6,,At,Ml,M9-malate+thiamine
94,H8,6,,At,Oa,M9-malate+thiamine
95,H9,6,6600000000.0,At,At,M9-malate+thiamine+biotin+cysteine+proline
96,H10,6,,At,Ct,M9-malate+thiamine+biotin+cysteine+proline
97,H11,6,,At,Ml,M9-malate+thiamine+biotin+cysteine+proline
98,H12,6,,At,Oa,M9-malate+thiamine+biotin+cysteine+proline
99,Inoculum,0,240786.24078624079,Ct,,
100,Inoculum,0,515970.51597051596,Ct,,
101,Inoculum,0,481572.48157248157,Ct,,
102,Inoculum,0,343980.34398034395,Ct,,
103,A1,6,7000000000.0,Ct,At+Ct,M9-malate
104,A2,6,,Ct,At+Ml,M9-malate
105,A3,6,,Ct,At+Oa,M9-malate
106,A4,6,7800000000.0,Ct,Ct+Ml,M9-malate
107,A5,6,6600000000.0,Ct,Ct+Oa,M9-malate
108,A6,6,,Ct,Ml+Oa,M9-malate
109,A7,6,,Ct,At+Oa,M9-malate+thiamine
110,A8,6,6600000000.0,Ct,Ct+Oa,M9-malate+thiamine
111,A9,6,,Ct,Ml+Oa,M9-malate+thiamine
112,A10,6,,Ct,At+Ml,M9-malate+thiamine+biotin+cysteine+proline
113,A11,6,8600000000.0,Ct,Ct+Ml,M9-malate+thiamine+biotin+cysteine+proline
114,A12,6,,Ct,Ml+Oa,M9-malate+thiamine+biotin+cysteine+proline
115,B1,6,5200000000.0,Ct,At+Ct,M9-malate
116,B2,6,,Ct,At+Ml,M9-malate
117,B3,6,,Ct,At+Oa,M9-malate
118,B4,6,5200000000.0,Ct,Ct+Ml,M9-malate
119,B5,6,5200000000.0,Ct,Ct+Oa,M9-malate
120,B6,6,,Ct,Ml+Oa,M9-malate
121,B7,6,,Ct,At+Oa,M9-malate+thiamine
122,B8,6,4000000000.0,Ct,Ct+Oa,M9-malate+thiamine
123,B9,6,,Ct,Ml+Oa,M9-malate+thiamine
124,B10,6,,Ct,At+Ml,M9-malate+thiamine+biotin+cysteine+proline
125,B11,6,6600000000.0,Ct,Ct+Ml,M9-malate+thiamine+biotin+cysteine+proline
126,B12,6,,Ct,Ml+Oa,M9-malate+thiamine+biotin+cysteine+proline
127,C1,6,6400000000.0,Ct,At+Ct,M9-malate
128,C2,6,,Ct,At+Ml,M9-malate
129,C3,6,,Ct,At+Oa,M9-malate
130,C4,6,3800000000.0,Ct,Ct+Ml,M9-malate
131,C5,6,4400000000.0,Ct,Ct+Oa,M9-malate
132,C6,6,,Ct,Ml+Oa,M9-malate
133,C7,6,,Ct,At+Oa,M9-malate+thiamine
134,C8,6,3600000000.0,Ct,Ct+Oa,M9-malate+thiamine
135,C9,6,,Ct,Ml+Oa,M9-malate+thiamine
136,C10,6,,Ct,At+Ml,M9-malate+thiamine+biotin+cysteine+proline
137,C11,6,5200000000.0,Ct,Ct+Ml,M9-malate+thiamine+biotin+cysteine+proline
138,C12,6,,Ct,Ml+Oa,M9-malate+thiamine+biotin+cysteine+proline
139,D1,6,7800000000.0,Ct,At+Ct,M9-malate
140,D2,6,,Ct,At+Ml,M9-malate
141,D3,6,,Ct,At+Oa,M9-malate
142,D4,6,4000000000.0,Ct,Ct+Ml,M9-malate
143,D5,6,5800000000.0,Ct,Ct+Oa,M9-malate
144,D6,6,,Ct,Ml+Oa,M9-malate
145,D7,6,,Ct,At+Oa,M9-malate+thiamine
146,D8,6,5000000000.0,Ct,Ct+Oa,M9-malate+thiamine
147,D9,6,,Ct,Ml+Oa,M9-malate+thiamine
148,D10,6,,Ct,At+Ml,M9-malate+thiamine+biotin+cysteine+proline
149,D11,6,5400000000.0,Ct,Ct+Ml,M9-malate+thiamine+biotin+cysteine+proline
150,D12,6,,Ct,Ml+Oa,M9-malate+thiamine+biotin+cysteine+proline
151,E1,6,,Ct,At,M9-malate
152,E2,6,5000000000.0,Ct,Ct,M9-malate
153,E4,6,,Ct,Oa,M9-malate
154,E5,6,,Ct,At,M9-malate+thiamine
155,E6,6,5600000000.0,Ct,Ct,M9-malate+thiamine
156,E7,6,,Ct,Ml,M9-malate+thiamine
157,E8,6,,Ct,Oa,M9-malate+thiamine
158,E9,6,,Ct,At,M9-malate+thiamine+biotin+cysteine+proline
159,E10,6,5600000000.0,Ct,Ct,M9-malate+thiamine+biotin+cysteine+proline
160,E11,6,,Ct,Ml,M9-malate+thiamine+biotin+cysteine+proline
161,E12,6,,Ct,Oa,M9-malate+thiamine+biotin+cysteine+proline
162,F1,6,,Ct,At,M9-malate
163,F2,6,5800000000.0,Ct,Ct,M9-malate
164,F3,6,,Ct,Ml,M9-malate
165,F4,6,,Ct,Oa,M9-malate
166,F5,6,,Ct,At,M9-malate+thiamine
167,F6,6,6000000000.0,Ct,Ct,M9-malate+thiamine
168,F7,6,,Ct,Ml,M9-malate+thiamine
169,F8,6,,Ct,Oa,M9-malate+thiamine
170,F9,6,,Ct,At,M9-malate+thiamine+biotin+cysteine+proline
171,F10,6,5400000000.0,Ct,Ct,M9-malate+thiamine+biotin+cysteine+proline
172,F11,6,,Ct,Ml,M9-malate+thiamine+biotin+cysteine+proline
173,F12,6,,Ct,Oa,M9-malate+thiamine+biotin+cysteine+proline
174,G1,6,,Ct,At,M9-malate
175,G2,6,5600000000.0,Ct,Ct,M9-malate
176,G3,6,,Ct,Ml,M9-malate
177,G4,6,,Ct,Oa,M9-malate
178,G5,6,,Ct,At,M9-malate+thiamine
179,G6,6,4800000000.0,Ct,Ct,M9-malate+thiamine
180,G7,6,,Ct,Ml,M9-malate+thiamine
181,G8,6,,Ct,Oa,M9-malate+thiamine
182,G9,6,,Ct,At,M9-malate+thiamine+biotin+cysteine+proline
183,G10,6,4600000000.0,Ct,Ct,M9-malate+thiamine+biotin+cysteine+proline
184,G11,6,,Ct,Ml,M9-malate+thiamine+biotin+cysteine+proline
185,G12,6,,Ct,Oa,M9-malate+thiamine+biotin+cysteine+proline
186,H1,6,,Ct,At,M9-malate
187,H2,6,4200000000.0,Ct,Ct,M9-malate
188,H3,6,,Ct,Ml,M9-malate
189,H4,6,,Ct,Oa,M9-malate
190,H5,6,,Ct,At,M9-malate+thiamine
191,H6,6,5800000000.0,Ct,Ct,M9-malate+thiamine
192,H7,6,,Ct,Ml,M9-malate+thiamine
193,H8,6,,Ct,Oa,M9-malate+thiamine
194,H9,6,,Ct,At,M9-malate+thiamine+biotin+cysteine+proline
195,H10,6,8000000000.0,Ct,Ct,M9-malate+thiamine+biotin+cysteine+proline
196,H11,6,,Ct,Ml,M9-malate+thiamine+biotin+cysteine+proline
197,H12,6,,Ct,Oa,M9-malate+thiamine+biotin+cysteine+proline
198,Inoculum,0,3439803.4398034397,Ml,,
199,Inoculum,0,4471744.471744472,Ml,,
200,Inoculum,0,3095823.0958230956,Ml,,
201,Inoculum,0,3439803.4398034397,Ml,,
202,A1,6,,Ml,At+Ct,M9-malate
203,A2,6,340000000.0,Ml,At+Ml,M9-malate
204,A3,6,,Ml,At+Oa,M9-malate
205,A4,6,160000000.0,Ml,Ct+Ml,M9-malate
206,A5,6,,Ml,Ct+Oa,M9-malate
207,A6,6,12000000.0,Ml,Ml+Oa,M9-malate
208,A7,6,,Ml,At+Oa,M9-malate+thiamine
209,A8,6,,Ml,Ct+Oa,M9-malate+thiamine
210,A9,6,380000000.0,Ml,Ml+Oa,M9-malate+thiamine
211,A10,6,300000000.0,Ml,At+Ml,M9-malate+thiamine+biotin+cysteine+proline
212,A11,6,240000000.0,Ml,Ct+Ml,M9-malate+thiamine+biotin+cysteine+proline
213,A12,6,320000000.0,Ml,Ml+Oa,M9-malate+thiamine+biotin+cysteine+proline
214,B1,6,,Ml,At+Ct,M9-malate
215,B2,6,240000000.0,Ml,At+Ml,M9-malate
216,B3,6,,Ml,At+Oa,M9-malate
217,B4,6,140000000.0,Ml,Ct+Ml,M9-malate
218,B5,6,,Ml,Ct+Oa,M9-malate
219,B6,6,4000000.0,Ml,Ml+Oa,M9-malate
220,B7,6,,Ml,At+Oa,M9-malate+thiamine
221,B8,6,,Ml,Ct+Oa,M9-malate+thiamine
222,B9,6,420000000.0,Ml,Ml+Oa,M9-malate+thiamine
223,B10,6,280000000.0,Ml,At+Ml,M9-malate+thiamine+biotin+cysteine+proline
224,B11,6,160000000.0,Ml,Ct+Ml,M9-malate+thiamine+biotin+cysteine+proline
225,B12,6,280000000.0,Ml,Ml+Oa,M9-malate+thiamine+biotin+cysteine+proline
226,C1,6,,Ml,At+Ct,M9-malate
227,C2,6,160000000.0,Ml,At+Ml,M9-malate
228,C3,6,,Ml,At+Oa,M9-malate
229,C4,6,160000000.0,Ml,Ct+Ml,M9-malate
230,C5,6,,Ml,Ct+Oa,M9-malate
231,C6,6,2800000.0,Ml,Ml+Oa,M9-malate
232,C7,6,,Ml,At+Oa,M9-malate+thiamine
233,C8,6,,Ml,Ct+Oa,M9-malate+thiamine
234,C9,6,500000000.0,Ml,Ml+Oa,M9-malate+thiamine
235,C10,6,180000000.0,Ml,At+Ml,M9-malate+thiamine+biotin+cysteine+proline
236,C11,6,80000000.0,Ml,Ct+Ml,M9-malate+thiamine+biotin+cysteine+proline
237,C12,6,260000000.0,Ml,Ml+Oa,M9-malate+thiamine+biotin+cysteine+proline
238,D1,6,,Ml,At+Ct,M9-malate
239,D2,6,160000000.0,Ml,At+Ml,M9-malate
240,D3,6,,Ml,At+Oa,M9-malate
241,D4,6,120000000.0,Ml,Ct+Ml,M9-malate
242,D5,6,,Ml,Ct+Oa,M9-malate
243,D6,6,4000000.0,Ml,Ml+Oa,M9-malate
244,D7,6,,Ml,At+Oa,M9-malate+thiamine
245,D8,6,,Ml,Ct+Oa,M9-malate+thiamine
246,D9,6,440000000.0,Ml,Ml+Oa,M9-malate+thiamine
247,D10,6,120000000.0,Ml,At+Ml,M9-malate+thiamine+biotin+cysteine+proline
248,D11,6,100000000.0,Ml,Ct+Ml,M9-malate+thiamine+biotin+cysteine+proline
249,D12,6,240000000.0,Ml,Ml+Oa,M9-malate+thiamine+biotin+cysteine+proline
250,E1,6,,Ml,At,M9-malate
251,E2,6,,Ml,Ct,M9-malate
252,E4,6,,Ml,Oa,M9-malate
253,E5,6,,Ml,At,M9-malate+thiamine
254,E6,6,,Ml,Ct,M9-malate+thiamine
255,E7,6,4000000.0,Ml,Ml,M9-malate+thiamine
256,E8,6,,Ml,Oa,M9-malate+thiamine
257,E9,6,,Ml,At,M9-malate+thiamine+biotin+cysteine+proline
258,E10,6,,Ml,Ct,M9-malate+thiamine+biotin+cysteine+proline
259,E11,6,1400000000.0,Ml,Ml,M9-malate+thiamine+biotin+cysteine+proline
260,E12,6,,Ml,Oa,M9-malate+thiamine+biotin+cysteine+proline
261,F1,6,,Ml,At,M9-malate
262,F2,6,,Ml,Ct,M9-malate
263,F3,6,2200000.0,Ml,Ml,M9-malate
264,F4,6,,Ml,Oa,M9-malate
265,F5,6,,Ml,At,M9-malate+thiamine
266,F6,6,,Ml,Ct,M9-malate+thiamine
267,F7,6,4000000.0,Ml,Ml,M9-malate+thiamine
268,F8,6,,Ml,Oa,M9-malate+thiamine
269,F9,6,,Ml,At,M9-malate+thiamine+biotin+cysteine+proline
270,F10,6,,Ml,Ct,M9-malate+thiamine+biotin+cysteine+proline
271,F11,6,1000000000.0,Ml,Ml,M9-malate+thiamine+biotin+cysteine+proline
272,F12,6,,Ml,Oa,M9-malate+thiamine+biotin+cysteine+proline
273,G1,6,,Ml,At,M9-malate
274,G2,6,,Ml,Ct,M9-malate
275,G3,6,800000.0,Ml,Ml,M9-malate
276,G4,6,,Ml,Oa,M9-malate
277,G5,6,,Ml,At,M9-malate+thiamine
278,G6,6,,Ml,Ct,M9-malate+thiamine
279,G7,6,16000000.0,Ml,Ml,M9-malate+thiamine
280,G8,6,,Ml,Oa,M9-malate+thiamine
281,G9,6,,Ml,At,M9-malate+thiamine+biotin+cysteine+proline
282,G10,6,,Ml,Ct,M9-malate+thiamine+biotin+cysteine+proline
283,G11,6,2000000000.0,Ml,Ml,M9-malate+thiamine+biotin+cysteine+proline
284,G12,6,,Ml,Oa,M9-malate+thiamine+biotin+cysteine+proline
285,H1,6,,Ml,At,M9-malate
286,H2,6,,Ml,Ct,M9-malate
287,H3,6,2200000.0,Ml,Ml,M9-malate
288,H4,6,,Ml,Oa,M9-malate
289,H5,6,,Ml,At,M9-malate+thiamine
290,H6,6,,Ml,Ct,M9-malate+thiamine
291,H7,6,28000000.0,Ml,Ml,M9-malate+thiamine
292,H8,6,,Ml,Oa,M9-malate+thiamine
293,H9,6,,Ml,At,M9-malate+thiamine+biotin+cysteine+proline
294,H10,6,,Ml,Ct,M9-malate+thiamine+biotin+cysteine+proline
295,H11,6,2400000000.0,Ml,Ml,M9-malate+thiamine+biotin+cysteine+proline
296,H12,6,,Ml,Oa,M9-malate+thiamine+biotin+cysteine+proline
297,Inoculum,0,784313.725490196,Oa,,
298,Inoculum,0,745098.0392156863,Oa,,
299,Inoculum,0,705882.3529411765,Oa,,
300,Inoculum,0,627450.9803921569,Oa,,
301,A1,6,,Oa,At+Ct,M9-malate
302,A2,6,,Oa,At+Ml,M9-malate
303,A3,6,6400000000.0,Oa,At+Oa,M9-malate
304,A4,6,,Oa,Ct+Ml,M9-malate
305,A5,6,780000000.0,Oa,Ct+Oa,M9-malate
306,A6,6,500000000.0,Oa,Ml+Oa,M9-malate
307,A7,6,12000000000.0,Oa,At+Oa,M9-malate+thiamine
308,A8,6,380000000.0,Oa,Ct+Oa,M9-malate+thiamine
309,A9,6,28000000000.0,Oa,Ml+Oa,M9-malate+thiamine
310,A10,6,,Oa,At+Ml,M9-malate+thiamine+biotin+cysteine+proline
311,A11,6,,Oa,Ct+Ml,M9-malate+thiamine+biotin+cysteine+proline
312,A12,6,20000000000.0,Oa,Ml+Oa,M9-malate+thiamine+biotin+cysteine+proline
313,B1,6,,Oa,At+Ct,M9-malate
314,B2,6,,Oa,At+Ml,M9-malate
315,B3,6,1800000000.0,Oa,At+Oa,M9-malate
316,B4,6,,Oa,Ct+Ml,M9-malate
317,B5,6,400000000.0,Oa,Ct+Oa,M9-malate
318,B6,6,220000000.0,Oa,Ml+Oa,M9-malate
319,B7,6,8000000000.0,Oa,At+Oa,M9-malate+thiamine
320,B8,6,300000000.0,Oa,Ct+Oa,M9-malate+thiamine
321,B9,6,14000000000.0,Oa,Ml+Oa,M9-malate+thiamine
322,B10,6,,Oa,At+Ml,M9-malate+thiamine+biotin+cysteine+proline
323,B11,6,,Oa,Ct+Ml,M9-malate+thiamine+biotin+cysteine+proline
324,B12,6,18000000000.0,Oa,Ml+Oa,M9-malate+thiamine+biotin+cysteine+proline
325,C1,6,,Oa,At+Ct,M9-malate
326,C2,6,,Oa,At+Ml,M9-malate
327,C3,6,4600000000.0,Oa,At+Oa,M9-malate
328,C4,6,,Oa,Ct+Ml,M9-malate
329,C5,6,260000000.0,Oa,Ct+Oa,M9-malate
330,C6,6,660000000.0,Oa,Ml+Oa,M9-malate
331,C7,6,5000000000.0,Oa,At+Oa,M9-malate+thiamine
332,C8,6,340000000.0,Oa,Ct+Oa,M9-malate+thiamine
333,C9,6,16000000000.0,Oa,Ml+Oa,M9-malate+thiamine
334,C10,6,,Oa,At+Ml,M9-malate+thiamine+biotin+cysteine+proline
335,C11,6,,Oa,Ct+Ml,M9-malate+thiamine+biotin+cysteine+proline
336,C12,6,20000000000.0,Oa,Ml+Oa,M9-malate+thiamine+biotin+cysteine+proline
337,D1,6,,Oa,At+Ct,M9-malate
338,D2,6,,Oa,At+Ml,M9-malate
339,D3,6,4400000000.0,Oa,At+Oa,M9-malate
340,D4,6,,Oa,Ct+Ml,M9-malate
341,D5,6,400000000.0,Oa,Ct+Oa,M9-malate
342,D6,6,440000000.0,Oa,Ml+Oa,M9-malate
343,D7,6,6200000000.0,Oa,At+Oa,M9-malate+thiamine
344,D8,6,420000000.0,Oa,Ct+Oa,M9-malate+thiamine
345,D9,6,16000000000.0,Oa,Ml+Oa,M9-malate+thiamine
346,D10,6,,Oa,At+Ml,M9-malate+thiamine+biotin+cysteine+proline
347,D11,6,,Oa,Ct+Ml,M9-malate+thiamine+biotin+cysteine+proline
348,D12,6,12000000000.0,Oa,Ml+Oa,M9-malate+thiamine+biotin+cysteine+proline
349,E1,6,,Oa,At,M9-malate
350,E2,6,,Oa,Ct,M9-malate
351,E4,6,180000000.0,Oa,Oa,M9-malate
352,E5,6,,Oa,At,M9-malate+thiamine
353,E6,6,,Oa,Ct,M9-malate+thiamine
354,E7,6,,Oa,Ml,M9-malate+thiamine
355,E8,6,8800000000.0,Oa,Oa,M9-malate+thiamine
356,E9,6,,Oa,At,M9-malate+thiamine+biotin+cysteine+proline
357,E10,6,,Oa,Ct,M9-malate+thiamine+biotin+cysteine+proline
358,E11,6,,Oa,Ml,M9-malate+thiamine+biotin+cysteine+proline
359,E12,6,20000000000.0,Oa,Oa,M9-malate+thiamine+biotin+cysteine+proline
360,F1,6,,Oa,At,M9-malate
361,F2,6,,Oa,Ct,M9-malate
362,F3,6,,Oa,Ml,M9-malate
363,F4,6,700000000.0,Oa,Oa,M9-malate
364,F5,6,,Oa,At,M9-malate+thiamine
365,F6,6,,Oa,Ct,M9-malate+thiamine
366,F7,6,,Oa,Ml,M9-malate+thiamine
367,F8,6,8400000000.0,Oa,Oa,M9-malate+thiamine
368,F9,6,,Oa,At,M9-malate+thiamine+biotin+cysteine+proline
369,F10,6,,Oa,Ct,M9-malate+thiamine+biotin+cysteine+proline
370,F11,6,,Oa,Ml,M9-malate+thiamine+biotin+cysteine+proline
371,F12,6,12000000000.0,Oa,Oa,M9-malate+thiamine+biotin+cysteine+proline
372,G1,6,,Oa,At,M9-malate
373,G2,6,,Oa,Ct,M9-malate
374,G3,6,,Oa,Ml,M9-malate
375,G4,6,240000000.0,Oa,Oa,M9-malate
376,G5,6,,Oa,At,M9-malate+thiamine
377,G6,6,,Oa,Ct,M9-malate+thiamine
378,G7,6,,Oa,Ml,M9-malate+thiamine
379,G8,6,7800000000.0,Oa,Oa,M9-malate+thiamine
380,G9,6,,Oa,At,M9-malate+thiamine+biotin+cysteine+proline
381,G10,6,,Oa,Ct,M9-malate+thiamine+biotin+cysteine+proline
382,G11,6,,Oa,Ml,M9-malate+thiamine+biotin+cysteine+proline
383,G12,6,16000000000.0,Oa,Oa,M9-malate+thiamine+biotin+cysteine+proline
384,H1,6,,Oa,At,M9-malate
385,H2,6,,Oa,Ct,M9-malate
386,H3,6,,Oa,Ml,M9-malate
387,H4,6,320000000.0,Oa,Oa,M9-malate
388,H5,6,,Oa,At,M9-malate+thiamine
389,H6,6,,Oa,Ct,M9-malate+thiamine
390,H7,6,,Oa,Ml,M9-malate+thiamine
391,H8,6,7800000000.0,Oa,Oa,M9-malate+thiamine
392,H9,6,,Oa,At,M9-malate+thiamine+biotin+cysteine+proline
393,H10,6,,Oa,Ct,M9-malate+thiamine+biotin+cysteine+proline
394,H11,6,,Oa,Ml,M9-malate+thiamine+biotin+cysteine+proline
395,H12,6,22000000000.0,Oa,Oa,M9-malate+thiamine+biotin+cysteine+proline
