species,reactor,sample_time,dilution,count,average,stdev
ct,ribose,0,-3,4|4|5,866666.6667,115470.0538
ct,acetate,0,-3,16|9|12,2466666.667,702376.9169
ct,histidine,0,-3,17|18|10,3000000,871779.7887
ct,glutaric acid,0,-3,6|5|4,1000000,200000
ct,ribose,15.5,-3,4|6|12,1466666.667,832666.3998
ct,acetate,15.5,-4,20|19|26,43333333.33,7571877.794
ct,histidine,15.5,-3,8|10|10,1866666.667,230940.1077
ct,glutaric acid,15.5,-3,18|16|24,3866666.667,832666.3998
ct,ribose,24,-3,11|10|10,2066666.667,115470.0538
ct,acetate,24,-5,21|23|19,420000000,40000000
ct,histidine,24,-3,22|19|26,4466666.667,702376.9169
ct,glutaric acid,24,-4,9|22|22,35333333.33,15011107
ct,ribose,39.5,-3,2|1|1,266666.6667,115470.0538
ct,acetate,39.5,-5,30|30|16,506666666.7,161658075.4
ct,histidine,39.5,-3,17|5|12,2266666.667,1205542.755
ct,glutaric acid,39.5,-4,6|23|13,28000000,17088007.49
ct,ribose,46.5,-3,11|14|18,2866666.667,702376.9169
ct,histidine,46.5,-4,6|12|7,16666666.67,6429100.507
ct,glutaric acid,46.5,-5,5|6|11,146666666.7,64291005.07
ct,ribose,63.5,-3,14|16|11,2733333.333,503322.2957
ct,acetate,63.5,-5,9|11|12,213333333.3,30550504.63
ct,histidine,63.5,-3,38|39|26,6866666.667,1446835.628
ct,glutaric acid,63.5,-4,22|20|21,42000000,2000000
ct,ribose,70.5,-3,5|5|3,866666.6667,230940.1077
ct,acetate,70.5,-5,44|49|50,953333333.3,64291005.07
ct,histidine,70.5,-4,10|5|8,15333333.33,5033222.957
ct,glutaric acid,70.5,-5,4|9|4,113333333.3,57735026.92
at,ribose,0,-3,14|18|15,3133333.333,416333.1999
at,acetate,0,-3,5|5|8,1200000,346410.1615
at,histidine,0,-3,8|9|5,1466666.667,416333.1999
at,glutaric acid,0,-3,10|15|13,2533333.333,503322.2957
at,ribose,15.5,-4,13|16|10,26000000,6000000
at,acetate,15.5,-4,10|9|4,15333333.33,6429100.507
at,histidine,15.5,-4,3|3|7,8666666.667,4618802.154
at,glutaric acid,15.5,-3,4|4|9,1133333.333,577350.2692
at,ribose,24,-5,6|4|4,93333333.33,23094010.77
at,acetate,24,-4,11|9|8,18666666.67,3055050.463
at,histidine,24,-4,13|16|12,27333333.33,4163331.999
at,glutaric acid,24,-4,2|1|3,4000000,2000000
at,ribose,39.5,-5,3|3|2,53333333.33,11547005.38
at,acetate,39.5,-3,6|4|5,1000000,200000
at,histidine,39.5,-5,2|3|2,46666666.67,11547005.38
at,glutaric acid,39.5,-4,1|3|2,4000000,2000000
at,ribose,46.5,-5,2|2|6,66666666.67,46188021.54
at,histidine,46.5,-5,4|5|7,106666666.7,30550504.63
at,glutaric acid,46.5,-4,4|4|7,10000000,3464101.615
at,ribose,63.5,-5,3|2|4,60000000,20000000
at,acetate,63.5,-3,2|1|4,466666.6667,305505.0463
at,histidine,63.5,-5,11|5|4,133333333.3,75718777.94
at,glutaric acid,63.5,-4,4|3|2,6000000,2000000
at,ribose,70.5,-5,5|9|9,153333333.3,46188021.54
at,acetate,70.5,-3,9|11|11,2066666.667,230940.1077
at,histidine,70.5,-5,14|14|15,286666666.7,11547005.38
at,glutaric acid,70.5,-3,25|25|24,4933333.333,115470.0538
oa,ribose,0,-3,3|2|3,533333.3333,115470.0538
oa,acetate,0,-3,1|2|4,466666.6667,305505.0463
oa,histidine,0,-3,3|1|2,400000,200000
oa,glutaric acid,0,-3,3|1|2,400000,200000
oa,ribose,15.5,-4,6|4|5,10000000,2000000
oa,acetate,15.5,-4,1|3|1,3333333.333,2309401.077
oa,histidine,15.5,-4,7|11|9,18000000,4000000
oa,glutaric acid,15.5,-3,8|5|3,1066666.667,503322.2957
oa,ribose,24,-4,7|10|9,17333333.33,3055050.463
oa,acetate,24,-5,6|3|2,73333333.33,41633319.99
oa,histidine,24,-5,4|7|4,100000000,34641016.15
oa,glutaric acid,24,-4,12|6|4,14666666.67,8326663.998
oa,ribose,39.5,-4,10|16|9,23333333.33,7571877.794
oa,acetate,39.5,-5,5|3|5,86666666.67,23094010.77
oa,histidine,39.5,-5,5|2|5,80000000,34641016.15
oa,glutaric acid,39.5,-4,10|11|12,22000000,2000000
oa,ribose,46.5,-5,3|4|3,66666666.67,11547005.38
oa,histidine,46.5,-5,20|12|14,306666666.7,83266639.98
oa,glutaric acid,46.5,-4,27|22|32,54000000,10000000
oa,ribose,63.5,-4,24|18|17,39333333.33,7571877.794
oa,acetate,63.5,-3,15|9|23,3133333.333,1404753.834
oa,histidine,63.5,-5,9|10|11,200000000,20000000
oa,glutaric acid,63.5,-5,5|6|4,100000000,20000000
oa,ribose,70.5,-5,11|6|4,140000000,72111025.51
oa,acetate,70.5,-4,14|10|13,24666666.67,4163331.999
oa,histidine,70.5,-5,21|14|18,353333333.3,70237691.69
oa,glutaric acid,70.5,-5,4|8|8,133333333.3,46188021.54
ms,ribose,0,-4,5|9|15,19333333.33,10066445.91
ms,acetate,0,-3,17|10|9,2400000,871779.7887
ms,histidine,0,-3,15|16|19,3333333.333,416333.1999
ms,glutaric acid,0,-4,6|5|7,12000000,2000000
ms,ribose,15.5,-4,2|2|1,3333333.333,1154700.538
ms,acetate,15.5,-4,3|3|5,7333333.333,2309401.077
ms,histidine,15.5,-4,5|3|3,7333333.333,2309401.077
ms,glutaric acid,15.5,-3,12|15|16,2866666.667,416333.1999
ms,ribose,24,-4,4|1|3,5333333.333,3055050.463
ms,acetate,24,-4,11|4|8,15333333.33,7023769.169
ms,histidine,24,-4,7|5|4,10666666.67,3055050.463
ms,glutaric acid,24,-4,5|3|2,6666666.667,3055050.463
ms,ribose,39.5,-3,14|13|8,2333333.333,642910.0507
ms,acetate,39.5,-4,4|2|2,5333333.333,2309401.077
ms,histidine,39.5,-3,5|5|7,1133333.333,230940.1077
ms,glutaric acid,39.5,-3,5|8|7,1333333.333,305505.0463
ms,ribose,46.5,-3,12|13|20,3000000,871779.7887
ms,histidine,46.5,-4,2|3|5,6666666.667,3055050.463
ms,glutaric acid,46.5,-3,16|8|14,2533333.333,832666.3998
ms,ribose,63.5,-3,2|3|10,1000000,871779.7887
ms,acetate,63.5,-3,4|4|4,800000,0
ms,histidine,63.5,-3,7|5|4,1066666.667,305505.0463
ms,glutaric acid,63.5,-3,3|5|7,1000000,400000
ms,ribose,70.5,-4,2|1|1,2666666.667,1154700.538
ms,acetate,70.5,-4,1|2|3,4000000,2000000
ms,histidine,70.5,-4,3|2|1,4000000,2000000
ms,glutaric acid,70.5,-3,12|11|10,2200000,200000